CATNO;QID;CON;[MESSIER];NAME_DE;NAME_EN;MAG;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;QTYPE;DIST_MLY;DIST_COM_MPC;REDSHIFT;Q
41;PKS 0219-164;CET;;;;15.00;02;22.013;-16;15.283;QSO;5.2;2128;0.698;Q;;;-27.9;;;;;;;0219-164;22;00.8;15;17
42;3C 66A;AND;;;;15.21;02;22.660;+43;2.133;BL;3.9;1465;0.444;Q;15.3;15.8 v;-26.5;;;;;;24;0219+428;22;39.6;02;08
43;B3 0225+389;AND;;;;15.80;02;28.987;+39;8.750;QSO;3.2;1153;0.336;Q;;;-25.8;;;;;;;0225+389;28;59.2;08;45
44;1ES 0229+200;ARI;;;;14.70;02;32.810;+20;17.283;BL;1.6;518;0.139;Q;;;-24.2;;;;;;;0229+200;32;48.6;17;17
45;PHL 1377;CET;;PKS 0232-042;PKS 0232-042;16.46;02;35.120;-04;2.083;QSO;7.3;3699;1.438;Q;16.5;v;-28.5;4C-04.06;OD-055;;;;25;0232-042;35;07.2;02;05
46;AO 0235+164;ARI;;OD+160;OD+160;15.50;02;38.648;+16;37.000;BL;6.1;2689;0.940;Q;14.3;19.5 v;-27.6;;;;;;26;0235+164;38;38.9;37;00
47;S2 0241+62;CAS;;4U 0241+62;4U 0241+62;15.70;02;44.960;+62;28.100;QSO;0.5;172;0.044;Q;15.7;;-20.5;;;;;;27;0241+622;44;57.6;28;06
48;KUV 02513-0536;ERI;;;;16.36;02;53.807;-05;23.483;QSO;7.0;3376;1.270;Q;;;-28.4;;;;;;;0251-055;53;48.4;23;29
49;US 3498;CET;;;;16.10;03;0.497;+02;40.833;QSO;1.3;434;0.115;Q;;;-23.1;;;;;;;0257+024;00;29.8;40;50
50;MS 03180-1937;ERI;;;;14.86;03;20.353;-19;26.517;QSO;1.2;394;0.104;Q;;;-23.1;;;;;;;0318-196;20;21.2;26;31
51;3C 95;ERI;;PKS 0349-146;PKS 0349-146;16.22;03;51.477;-14;29.167;QSO;4.8;1918;0.614;Q;16.2;;-26.4;OE-181.9;NRAO 147       MSH 03-19;;;;28;0349-146;51;28.6;29;10
52;3C 94;ERI;;PKS 0350-073;PKS 0350-073;16.49;03;52.510;-07;11.033;QSO;6.2;2737;0.962;Q;16.5;v;-27.2;GC 0350-073;OE-083         NRAO 149       MSH 03-06;;;;29;0350-073;52;30.6;11;02
53;OF-109;ERI;;PKS 0405-123;PKS 0405-123;14.86;04;7.808;-12;11.600;QSO;4.6;1815;0.574;Q;14.8;15.5 v;-27.7;MSH 04-12;;;;;30;0405-123;07;48.5;11;36
54;1H 0414+009;TAU;;2E 0414+0057;2E 0414+0057;16.38;04;16.873;+01;5.400;BL;2.9;1004;0.287;Q;;;-24.4;;;;;;;0414+009;16;52.4;05;24
55;3C 110;ERI;;4C-05.17;4C-05.17;15.94;04;17.278;-05;53.750;QSO;5.5;2308;0.773;Q;15.0;v;-27.3;PKS 0414-060;OF-024         NRAO 170;;;;31;0414-060;17;16.7;53;45
56;OF+038;TAU;;PKS 0422+004;PKS 0422+004;16.98;04;24.780;+00;36.117;BL;;;;Q;15.0;17.0 v;;GC 0422+004;;;;;32;0422+004;24;46.8;36;07
