CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;OCTYPE;_DIAM_MM;MAG;STAR_CNT;DIST_LY;AGE;OC
1;BRHT49b;;;;;5;19.28;-69;47.30;-;1;13.21;-999;-999;-999;OC
1;NGC6583;;;;;18;15.80;-22;8.00;-;0;10;-999;-999;-999;OC
1;NGC1942;;;;;5;24.72;-63;56.40;-;0;13.46;-999;-999;-999;OC
1;NGC1872;;;;;5;13.19;-69;18.75;-;2;11.04;-999;-999;-999;OC
1;NGC6882;;;;;20;11.80;26;49.00;-;0;14.1;-999;-999;-999;OC
1;NGC659;;;;;1;44.40;60;40.00;-;0;7.9;-999;-999;-999;OC
1;NGC6167;Nor;;;;16;34.57;-49;46.30;II3m;7;6.7;-999;3614;-999;OC
1;NGC5662;;;;;14;35.62;-56;37.10;-;0;5.5;-999;-999;-999;OC
1;NGC6683;;;;;18;42.20;-6;17.00;-;0;9.4;-999;-999;-999;OC
1;NGC1876;;;;;5;13.32;-69;21.74;-;1;11.71;-999;-999;-999;OC
1;NGC609;;;;;1;36.41;64;32.20;-;0;11;-999;-999;-999;OC
1;NGC1883;;;;;5;25.90;46;29.40;-;0;12;-999;-999;-999;OC
1;NGC1859;;;;;5;11.52;-65;15.00;-;2;12.26;-999;-999;-999;OC
1;NGC2075;;;;;5;38.35;-70;41.10;-;1;11.47;-999;-999;-999;OC
1;NGC2358;;;;;7;16.90;-17;9.00;-;0;-999;-999;-999;-999;OC
1;NGC419;;;;;1;8.48;-72;53.20;-;3;10.5;-999;-999;-999;OC
1;NGC6802;Vul;;;;19;30.60;20;15.57;III1m;5;8.8;-999;3650;-999;OC
1;NGC2234;;;;;6;29.40;16;41.00;-;0;-999;-999;-999;-999;OC
1;NGC6192;;;;;16;40.38;-43;22.00;-;0;8.5;-999;-999;-999;OC
1;NGC5593;;;;;14;25.62;-54;48.00;-;0;-999;-999;-999;-999;OC
1;NGC133;;;;;0;31.20;63;22.00;-;0;9.4;-999;-999;-999;OC
1;NGC3247;;;;;10;24.29;-57;45.60;-;0;7.6;-999;-999;-999;OC
1;NGC2136;;;;;5;52.98;-69;29.60;-;3;10.7;-999;-999;-999;OC
1;IC348;;;;;3;44.57;32;9.80;-;0;7.3;-999;-999;-999;OC
1;NGC6568;;;;;18;12.70;-21;36.00;-;0;8.6;-999;-999;-999;OC
1;NGC1750;;;;;5;3.90;23;39.00;-;0;-999;-999;-999;-999;OC
1;NGC1878;;;;;5;12.82;-70;28.30;-;1;12.94;-999;-999;-999;OC
1;NGC2172;;;;;6;0.10;-68;38.19;-;2;11.75;-999;-999;-999;OC
1;NGC2160;;;;;5;58.22;-68;17.39;-;1;12.16;-999;-999;-999;OC
1;NGC5460;Cen;;;;14;7.45;-48;20.60;II3m;35;5.6;-999;2200;-999;OC
1;NGC299;;;;;0;53.41;-72;11.79;-;1;11.73;-999;-999;-999;OC
1;NGC7031;;;;;21;7.20;50;52.00;-;0;9.1;-999;-999;-999;OC
1;NGC2383;;;;;7;24.67;-20;56.90;-;0;8.4;-999;-999;-999;OC
1;NGC1865;;;;;5;12.42;-68;46.32;-;1;12.91;-999;-999;-999;OC
1;NGC2166;;;;;5;59.56;-67;56.52;-;1;12.86;-999;-999;-999;OC
1;NGC2849;;;;;9;19.30;-40;33.00;-;0;12.5;-999;-999;-999;OC
1;NGC2184;;;;;6;11.20;-3;26.00;-;0;-999;-999;-999;-999;OC
1;NAMELW426w;;;;;6;12.88;-68;15.58;-;3;-999;-999;-999;-999;OC
1;NGC2041;;;;;5;36.47;-66;59.50;-;3;10.36;-999;-999;-999;OC
1;NGC225;;;;;0;43.65;61;46.50;-;0;7;-999;-999;-999;OC
1;NGC1839;;;;;5;6.05;-68;37.62;-;2;11.8;-999;-999;-999;OC
1;NGC2236;;;;;6;29.70;6;50.00;-;0;8.5;-999;-999;-999;OC
1;NGC2006;;;;;5;31.32;-66;58.40;-;2;10.88;-999;-999;-999;OC
1;NGC6939;Cep;;;;20;31.50;60;39.70;I1m;10;7.8;-999;3900;-999;OC
1;NGC1913;;;;;5;18.31;-69;32.25;-;1;11.14;-999;-999;-999;OC
1;NGC6444;;;;;17;49.40;-34;47.00;-;0;-999;-999;-999;-999;OC
1;NGC1768;;;;;4;57.03;-68;14.90;-;1;12.79;-999;-999;-999;OC
1;NGC1813;;;;;5;2.67;-70;19.10;-;1;12.76;-999;-999;-999;OC
1;NGC6124;Sco;;;;16;25.33;-40;39.20;II3m;40;5.8;-999;1700;-999;OC
1;NGC1557;;;;;4;13.18;-70;28.30;-;0;-999;-999;-999;-999;OC
1;OCl374;;;;;7;10.20;75;12.30;-;0;-999;-999;-999;-999;OC
1;NGC2645;;;;;8;39.05;-46;14.00;-;0;7.32;-999;-999;-999;OC
1;NGC1802;;;;;5;10.30;24;8.00;-;0;-999;-999;-999;-999;OC
1;NGC2143;;;;;6;3.10;5;46.00;-;0;-999;-999;-999;-999;OC
1;NGC3114;Car;;;;10;2.60;-60;7.20;II3r;35;4.2;-999;2800;-999;OC
1;NGC1704;;;;;4;49.92;-69;45.30;-;2;11.5;-999;-999;-999;OC
1;IC1311;;;;;20;10.30;41;13.00;-;0;13.1;-999;-999;-999;OC
1;NGC1775;;;;;4;56.90;-70;25.80;-;1;12.55;-999;-999;-999;OC
1;NGC2204;;;;;6;15.55;-18;39.90;-;0;8.6;-999;-999;-999;OC
1;NGC6639;;;;;18;30.98;-13;9.30;-;0;-999;-999;-999;-999;OC
1;NGC1840;;;;;5;5.30;-71;45.70;-;0;-999;-999;-999;-999;OC
1;NGC2420;Gem;;;;7;38.38;21;34.40;I2r;6;8.3;300;10000;2000;OC
1;NGC465;;;;;1;15.70;-73;19.70;-;4;-999;-999;-999;-999;OC
1;IC2156;;;;;6;4.80;24;9.00;-;0;-999;-999;-999;-999;OC
1;NGC2241;;;;;6;22.88;-68;55.50;-;2;13.25;-999;-999;-999;OC
1;NGC5284;;;;;13;46.50;-59;8.65;-;0;-999;-999;-999;-999;OC
1;NGC602b;Tuc;;;;1;29.50;-73;32.00;-;1;-999;-999;196000;-999;OC
1;NGC2042;;;;;5;36.17;-68;54.70;-;1;9.58;-999;-999;-999;OC
1;IC1660;;;;;1;12.62;-71;45.70;-;1;13.51;-999;-999;-999;OC
1;NGC1798;;;;;5;11.90;47;38.00;-;0;-999;-999;-999;-999;OC
1;NGC7142;;;;;21;45.17;65;46.30;-;0;9.3;-999;-999;-999;OC
1;NGC1693;;;;;4;47.63;-69;20.60;-;1;12.89;-999;-999;-999;OC
1;NGC2669;;;;;8;46.37;-52;56.90;-;0;6.1;-999;-999;-999;OC
1;NGC6216;;;;;16;49.40;-44;44.00;-;0;10.1;-999;-999;-999;OC
1;NGC1994;;;;;5;28.38;-69;8.53;-;2;-999;-999;-999;-999;OC
1;NGC5138;;;;;13;27.27;-59;2.00;-;0;-999;-999;-999;-999;OC
1;NGC2194;;;;;6;13.71;12;48.10;-;0;8.5;-999;-999;-999;OC
1;NGC2097;;;;;5;44.27;-62;47.10;-;2;13.67;-999;-999;-999;OC
1;NGC1695;;;;;4;47.74;-69;22.52;-;1;12.16;-999;-999;-999;OC
1;NGC4609;;;;;12;42.30;-62;59.70;-;0;6.9;-999;-999;-999;OC
1;NGC1971;;;;;5;26.76;-69;51.05;-;1;11.9;-999;-999;-999;OC
1;NGC6416;;;;;17;44.32;-32;21.70;-;0;-999;-999;-999;-999;OC
1;NGC1820;;;;;5;4.10;-67;16.70;-;0;11.5;-999;-999;-999;OC
1;NGC2065;;;;;5;37.63;-70;13.94;-;2;11.24;-999;-999;-999;OC
1;NGC2086;;;;;5;40.40;-69;40.28;-;0;12;-999;-999;-999;OC
1;IC4651;;;;;17;24.82;-49;56.00;-;0;6.9;-999;-999;-999;OC
1;NGC3519;;;;;11;4.16;-61;22.50;-;0;7.7;-999;-999;-999;OC
1;NGC1548;;;;;4;20.90;36;55.00;-;0;-999;-999;-999;-999;OC
1;NGC6755;;;;;19;7.82;4;16.00;-;0;7.5;-999;-999;-999;OC
1;NGC1786;;;;;4;59.12;-67;44.76;-;2;-999;-999;-999;-999;OC
1;NGC7789;Cas;;Herschels Spiralhaufen;Caroline's Rose;23;57.40;56;42.50;II1r;25;6.7;15000;7600;1500;OC
1;NGC6827;;;;;19;48.88;21;11.87;-;0;-999;-999;-999;-999;OC
1;NGC1984;Dor;;;;5;27.67;-69;8.10;-;1;10.0;-999;160000;-999;OC
1;NGC1846;;;;;5;7.58;-67;27.54;-;0;11.31;-999;-999;-999;OC
1;NGC743;;;;;1;58.70;60;11.00;-;0;-999;-999;-999;-999;OC
1;NGC2421;;;;;7;36.20;-20;37.00;-;0;8.3;-999;-999;-999;OC
1;IC5146;Cyg;;Kokonnebel;Cocoon Nebula;21;53.40;47;16.00;III2pn;10;7.2;100;3100;-999;OC
1;IC2602;Car;;Suedliche Plejaden (Theta Carinae Haufen);Southern Pleiades (Theta Carinae Cluster);10;42.97;-64;24.00;II3m;50;1.9;60;480;50;OC
1;NGC6834;;;;;19;52.20;29;24.50;-;0;7.8;-999;-999;-999;OC
1;NGC1804;;;;;5;1.07;-69;5.05;-;1;11.87;-999;-999;-999;OC
1;NGC6840;;;;;19;55.30;12;7.60;-;0;-999;-999;-999;-999;OC
1;NGC5925;;;;;15;27.44;-54;32.07;-;0;8.4;-999;-999;-999;OC
1;NGC2002;;;;;5;30.35;-66;53.10;-;2;10.84;-999;-999;-999;OC
1;NGC2117;;;;;5;47.79;-67;27.09;-;2;11.65;-999;-999;-999;OC
1;NGC6208;;;;;16;49.47;-53;43.70;-;0;7.2;-999;-999;-999;OC
1;NGC7762;;;;;23;49.80;68;2.00;-;0;-999;-999;-999;-999;OC
1;NGC136;;;;;0;31.50;61;32.00;-;0;-999;-999;-999;-999;OC
